FPS,GrayScale_Func [ms],EqualizeHist_Func [ms],Clahe_Func [ms],Face_Func [ms],Nose_Func [ms],Mouth_Func [ms],RightEye_Func [ms],REyeOpen_Func [ms],LeftEye_Func [ms],LEyeopen_Func [ms],Tracking_Func [ms],FaceFound?,NoseFound?,MouthFound?,RightEyeFound?,REyeOpenFound?,LeftEyeFound?,LEyeopenFound?
1,2.47743,0.956367,0,128.651,0.022099,0.257251,0.14981,0,0.114788,0,0,1,0,0,0,0,0,0
2,1.23909,0.820622,0,220.649,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
3,9.36496,0.828259,0,65.8182,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
4,8.18877,0.822278,0,50.5621,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
5,1.03077,0.88978,0,70.4037,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
6,1.04813,0.815866,0,56.1985,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
7,1.02806,0.911835,0,52.9272,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
8,6.42313,0.824785,0,42.2477,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
9,0.980505,0.816957,0,40.3523,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
10,6.26561,0.925793,0,38.298,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
11,1.48312,0.914587,0,41.3255,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
6,1.2021,0.913125,0,42.2679,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
6.5,1.44951,1.26835,0,39.689,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
7,8.97447,0.881289,0,37.1516,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
7.5,1.40035,0.926933,0,41.0582,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
8,1.43466,0.954463,0,43.7282,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
8.5,1.86419,0.916334,0,42.0279,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
9,0.784167,0.960056,0,37.9181,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
9.5,3.29533,1.42646,0,39.849,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
10,1.35907,1.16612,0,41.5814,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
10.5,1.07894,0.914995,0,42.074,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
11,3.91729,0.92276,0,41.533,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
11.5,1.33086,1.29156,0,38.8499,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
12,1.36136,0.959813,0,40.6076,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
12.5,1.35062,1.09294,0,42.4446,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
13,1.41036,1.10108,0,44.4203,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
13.5,1.60626,0.981888,0,42.3598,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
9.33333,1.89256,0.923636,0,37.0699,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
9.66667,1.52428,0.914677,0,39.8331,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
10,1.3073,0.913265,0,42.115,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
10.3333,2.51388,1.24337,0,40.7329,0.005852,0.038269,0.06894,0,0.036879,0,0,1,0,0,0,0,0,0
